name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
John F. Clauser,,Physics,28,94,15586,1.25,1.0,0.3844,0.1666,0.7111,1,4,4,3,2005,2025,0.2,0.38,0.0769,0.014,0.009,0.857,0.0,0.0
Anton Zeilinger,0000-0003-4832-0849,Physics,117,603,74740,7.68,7.21,0.4889,0.3186,0.7444,154,200,200,50,2006,2026,0.2,0.2559,0.0978,0.05,0.15,0.8931,0.6562,0.01
Syukuro Manabe,0000-0002-0335-3190,Physics,74,173,27975,6.44,1.85,0.3961,0.2472,0.6194,10,27,27,16,2006,2026,0.2,0.363,0.0792,0.037,0.048,0.8804,0.8438,0.037
Klaus Hasselmann,0000-0001-8336-2130,Physics,62,277,27350,6.49,2.67,0.3516,0.1992,0.5802,15,45,45,21,2006,2026,0.2,0.3467,0.0703,0.031,0.063,0.8725,0.4792,0.0444
Giorgio Parisi,0000-0002-2190-883X,Physics,111,949,63298,5.98,4.05,0.4782,0.2864,0.766,172,200,200,55,2006,2026,0.2,0.319,0.0956,0.05,0.15,0.9213,0.5778,0.07
Roger Penrose,0000-0003-2552-0916,Physics,88,430,53760,3.3,2.77,0.3799,0.1487,0.7267,64,128,128,39,2006,2026,0.2,0.3445,0.076,0.044,0.117,0.9061,0.0,0.0
Reinhard Genzel,0000-0002-2767-9653,Physics,129,1212,59718,24.44,10.15,0.4705,0.1901,0.8911,196,200,200,28,2006,2026,0.2,0.197,0.0941,0.05,0.084,0.8287,0.0,0.0
Andrea Ghez,0000-0003-3230-5055,Physics,60,476,13382,11.22,5.43,0.4809,0.2219,0.8693,157,200,200,51,2006,2026,0.2,0.2913,0.0962,0.03,0.15,0.8996,0.0,0.0
James Peebles,0000-0002-0949-7549,Physics,69,392,34945,1.93,1.58,0.455,0.191,0.851,72,98,98,28,2006,2026,0.2,0.3684,0.091,0.0345,0.084,0.9044,0.0,0.0
Michel Mayor,0000-0003-0456-3728,Physics,120,933,53945,22.27,13.56,0.4548,0.1593,0.898,189,200,200,29,2006,2026,0.2,0.1287,0.091,0.05,0.087,0.7911,0.0,0.0
Didier Queloz,0000-0002-1248-3967,Physics,118,1192,57595,24.0,17.28,0.4587,0.1667,0.8967,189,200,200,25,2006,2026,0.2,0.0544,0.0917,0.05,0.075,0.74,0.0,0.0
Gérard Mourou,0000-0002-6966-6009,Physics,85,725,35607,9.24,7.33,0.5058,0.2988,0.8163,159,200,200,66,2006,2026,0.2,0.2534,0.1012,0.0425,0.15,0.8899,0.819,0.025
Donna Strickland,0000-0003-0335-6318,Physics,20,108,8412,3.74,2.94,0.4762,0.2493,0.8164,41,53,53,23,2006,2026,0.1682,0.3411,0.0952,0.01,0.069,0.8589,0.2302,0.0566
Rainer Weiss,0000-0003-0974-2988,Physics,1,5,6,1.33,1.33,0.8553,0.9667,0.6882,1,3,3,3,2006,2026,0.0001,0.3733,0.1711,0.0005,0.009,0.7896,0.0,0.0
Barry C. Barish,0000-0002-8763-1072,Physics,91,492,70198,71.12,33.73,0.4832,0.2664,0.8084,145,171,171,54,2006,2026,0.2,0.0,0.0966,0.0455,0.15,0.7531,0.0,0.0
Kip S. Thorne,0000-0002-4766-8499,Physics,66,205,28760,4.21,3.38,0.4601,0.255,0.7679,30,47,47,24,2006,2026,0.2,0.3323,0.092,0.033,0.072,0.8814,0.0,0.0
F. Duncan M. Haldane,0000-0002-0384-0886,Physics,68,235,41101,3.03,2.19,0.4844,0.2439,0.8452,71,111,111,20,2006,2026,0.2,0.3562,0.0969,0.034,0.06,0.8899,0.0,0.0
J. Michael Kosterlitz,0000-0002-4292-5335,Physics,17,110,1601,3.22,2.35,0.4524,0.2647,0.7341,16,23,23,14,2006,2026,0.032,0.353,0.0905,0.0085,0.042,0.7734,0.0,0.0
Takaaki Kajita,0000-0002-4357-7450,Physics,51,224,14790,25.64,14.27,0.4733,0.2191,0.8547,64,95,95,44,2006,2026,0.2,0.1145,0.0947,0.0255,0.132,0.7968,0.0,0.0
Arthur B. McDonald,0000-0003-1161-4238,Physics,40,169,12408,49.33,38.33,0.4746,0.228,0.8445,30,40,40,27,2006,2026,0.2,0.0,0.0949,0.02,0.081,0.6903,0.0,0.0
Hiroshi Amano,0000-0002-2128-1708,Physics,88,1763,41798,8.65,6.9,0.5095,0.322,0.7908,157,200,200,66,2006,2026,0.2,0.262,0.1019,0.044,0.15,0.895,0.7861,0.075
Shuji Nakamura,0000-0002-3761-1197,Physics,120,1058,73271,8.49,7.14,0.4827,0.2556,0.8233,184,200,200,41,2006,2026,0.2,0.2571,0.0965,0.05,0.123,0.8801,0.7327,0.015
François Englert,0000-0002-5340-8046,Physics,8,71,406,1.63,1.16,0.4961,0.2792,0.8216,11,19,19,14,2006,2026,0.0081,0.3768,0.0992,0.004,0.042,0.7758,0.5,0.0526
Peter Higgs,0000-0002-6569-2937,Physics,33,316,4411,7.12,4.13,0.5377,0.4594,0.655,149,200,200,108,2006,2026,0.0882,0.3173,0.1075,0.0165,0.15,0.8568,0.5884,0.48
Serge Haroche,0000-0002-1442-2881,Physics,82,454,33188,4.22,3.15,0.4152,0.2495,0.6638,149,192,192,45,2006,2026,0.2,0.337,0.083,0.041,0.135,0.9128,0.0,0.0
David J. Wineland,0000-0003-3895-5710,Physics,87,456,37470,7.91,7.03,0.4541,0.2397,0.7757,87,174,174,48,2006,2026,0.2,0.2594,0.0908,0.0435,0.144,0.8854,0.0,0.0
Saul Perlmutter,0000-0002-9589-2701,Physics,67,749,47877,29.2,21.24,0.4476,0.1769,0.8536,175,200,200,49,2006,2026,0.2,0.0,0.0895,0.0335,0.147,0.7393,1.0,0.005
Brian P. Schmidt,0000-0001-6589-1287,Physics,4,69,163,6.23,3.35,0.3794,0.1559,0.7147,13,26,26,10,2006,2026,0.0033,0.3331,0.0759,0.002,0.03,0.7228,0.2604,0.0385
Adam G. Riess,0000-0002-0938-4314,Physics,101,679,87151,24.96,14.42,0.444,0.1523,0.8816,177,200,200,29,2006,2026,0.2,0.1116,0.0888,0.05,0.087,0.78,0.0,0.0
Andre Geim,0000-0002-2551-0548,Physics,127,489,309897,10.02,8.65,0.4869,0.2773,0.8012,150,200,200,47,2006,2026,0.2,0.2269,0.0974,0.05,0.141,0.8746,0.5432,0.065
Konstantin Novoselov,0000-0002-1928-7159,Physics,149,827,324096,10.4,8.52,0.4813,0.2739,0.7925,150,200,200,49,2006,2026,0.2,0.2297,0.0963,0.05,0.147,0.8783,0.4955,0.085
