name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
Makoto Kobayashi,0000-0002-8849-4445,Physics,39,405,5526,5.43,3.02,0.4397,0.2383,0.7417,160,200,200,94,2006,2026,0.1105,0.3397,0.0879,0.0195,0.15,0.8708,0.4417,0.02
Albert Fert,0000-0003-3244-1610,Physics,103,522,63011,9.51,7.88,0.4755,0.24,0.8287,157,200,200,57,2006,2026,0.2,0.2423,0.0951,0.05,0.15,0.8853,0.4962,0.015
John C. Mather,0000-0001-8748-7315,Physics,43,333,20622,10.55,5.98,0.4353,0.1736,0.8277,63,89,89,43,2006,2026,0.2,0.2804,0.0871,0.0215,0.129,0.8759,0.0,0.0
George F. Smoot,0000-0003-0861-1709,Physics,34,310,34704,10.91,8.98,0.4614,0.1988,0.8553,120,154,154,55,2006,2026,0.2,0.2204,0.0923,0.017,0.15,0.8569,1.0,0.0065
Theodor W. Hänsch,0000-0002-2796-1589,Physics,92,600,45498,8.25,6.33,0.5203,0.3007,0.8497,174,200,200,61,2006,2026,0.2,0.2733,0.1041,0.046,0.15,0.9023,0.8509,0.04
David Baker,0000-0001-7896-6217,Chemistry,192,1577,145185,13.78,11.84,0.725,0.6546,0.8306,119,200,200,40,2006,2026,0.2,0.204,0.1087,0.05,0.08,0.8379,0.6769,0.875
Demis Hassabis,0000-0002-5359-5567,Chemistry,90,174,186801,16.36,13.74,0.5296,0.4252,0.6862,134,168,168,53,2006,2026,0.2,0.1564,0.0794,0.045,0.1,0.8047,0.5972,0.2976
John M. Jumper,0000-0001-9254-7192,Chemistry,27,56,85608,13.27,8.02,0.6146,0.4669,0.8361,39,56,56,22,2006,2026,0.2,0.2996,0.0922,0.0135,0.044,0.8413,0.5542,0.3571
Moungi G. Bawendi,0000-0003-2220-4365,Chemistry,161,722,123855,8.6,7.34,0.5574,0.416,0.7695,160,200,200,64,2006,2026,0.2,0.3164,0.0836,0.05,0.1,0.8913,0.5946,0.33
Louis E. Brus,0000-0002-8276-0242,Chemistry,107,421,56662,8.44,6.83,0.5038,0.3134,0.7895,98,131,131,33,2006,2026,0.2,0.3292,0.0756,0.05,0.066,0.8772,0.5094,0.084
Carolyn R. Bertozzi,0000-0003-4102-4615,Chemistry,142,935,85325,9.26,7.89,0.6084,0.4551,0.8384,157,200,200,62,2006,2026,0.2,0.3026,0.0913,0.05,0.1,0.8884,0.4901,0.595
Morten Meldal,0000-0002-6948-9165,Chemistry,58,481,24256,4.28,3.31,0.4989,0.2724,0.8386,84,133,133,48,2006,2026,0.2,0.4173,0.0748,0.029,0.096,0.9224,0.5225,0.2256
K. Barry Sharpless,0000-0002-6898-4623,Chemistry,137,742,108473,8.83,7.68,0.5321,0.3401,0.8202,162,200,200,58,2006,2026,0.2,0.3079,0.0798,0.05,0.1,0.8854,0.5355,0.265
Benjamin List,0000-0002-9899-4052,Chemistry,103,1763,45698,4.21,3.95,0.4789,0.2075,0.886,184,200,200,27,2006,2026,0.2,0.4012,0.0718,0.05,0.054,0.904,0.3646,0.075
David W.C. MacMillan,0000-0001-6447-0587,Chemistry,126,463,72534,5.12,4.86,0.5068,0.2566,0.882,169,200,200,28,2006,2026,0.2,0.3786,0.076,0.05,0.056,0.8963,0.3419,0.125
Emmanuelle Charpentier,0000-0002-6590-3657,Chemistry,55,153,46398,6.91,5.24,0.5307,0.339,0.8183,79,128,128,67,2006,2026,0.2,0.3689,0.0796,0.0275,0.1,0.9036,0.4456,0.2422
Jennifer A. Doudna,0000-0001-9161-999X,Chemistry,150,667,118221,9.29,8.06,0.6429,0.5062,0.8479,111,200,200,54,2006,2026,0.2,0.2984,0.0964,0.05,0.1,0.8888,0.5501,0.705
John B. Goodenough,0000-0001-9350-3034,Chemistry,183,1439,171536,6.82,5.99,0.4304,0.2309,0.7297,164,200,200,55,2006,2026,0.2,0.3504,0.0646,0.05,0.1,0.8984,0.6414,0.02
M. Stanley Whittingham,0000-0003-4451-3168,Chemistry,85,564,42792,7.52,6.83,0.476,0.3086,0.7271,145,200,200,61,2006,2026,0.2,0.3292,0.0714,0.0425,0.1,0.888,0.4372,0.015
Akira Yoshino,0000-0001-6981-4982,Chemistry,17,133,2783,9.8,7.22,0.4602,0.3128,0.6812,25,40,40,26,2006,2026,0.0557,0.3194,0.069,0.0085,0.052,0.7606,0.0,0.0
