name,orcid,field,is_nobel,horizon,ref_year,cutoff_year,total_citations,avg_author_position,avg_authors_per_paper,complexity_keyword_score,complexity_concept_score,complexity_mesh_score,mesh_coverage,journals,h_index,total_publications,complexity_n_works_analyzed,cby_min_year
C. B. Schroeder,0000-0002-9610-0166,Physics,0,0,2013,2013,1383,4.73,7.83,0.3899,0.7978,0.0,0.0,48,14,418,306,2012
C. B. Schroeder,0000-0002-9610-0166,Physics,0,5,2013,2008,26,3.74,6.79,0.3755,0.8044,0.0,0.0,34,2,178,108,2012
C. B. Schroeder,0000-0002-9610-0166,Physics,0,10,2013,2003,20,2.88,5.64,0.3304,0.7966,0.0,0.0,18,2,64,37,2012
P. M. Celliers,0000-0001-7600-1227,Physics,0,0,2011,2011,64,4.1,12.41,0.3118,0.7867,0.5534,0.0132,49,4,303,181,2012
P. M. Celliers,0000-0001-7600-1227,Physics,0,5,2011,2006,61,3.84,11.76,0.3296,0.788,0.5534,0.0181,46,4,221,139,2012
P. M. Celliers,0000-0001-7600-1227,Physics,0,10,2011,2001,68,3.11,9.64,0.3497,0.7906,0.636,0.0135,38,4,148,99,2012
G.A.P. Cirrone,0000-0001-5733-9281,Physics,0,0,2013,2013,1070,5.14,15.45,0.3563,0.7868,0.6355,0.1168,52,10,197,117,2012
G.A.P. Cirrone,0000-0001-5733-9281,Physics,0,5,2013,2008,12,4.36,12.8,0.3979,0.7877,0.8039,0.1325,30,1,83,49,2012
G.A.P. Cirrone,0000-0001-5733-9281,Physics,0,10,2013,2003,10,3.71,9.71,0.507,0.7765,0.8153,0.3529,10,1,17,12,2012
M. Nisoli,0000-0003-2309-732X,Physics,0,0,2022,2022,7000,7.59,10.5,0.3035,0.8687,0.0,0.0,80,35,317,249,2012
M. Nisoli,0000-0003-2309-732X,Physics,0,5,2022,2017,3999,6.41,10.03,0.2873,0.86,0.0,0.0,81,26,323,232,2012
M. Nisoli,0000-0003-2309-732X,Physics,0,10,2022,2012,947,5.38,9.33,0.2727,0.8413,0.0,0.0,78,17,330,221,2012
Hitoshi Nishimura,0000-0001-5068-1738,Physics,0,0,2019,2019,2176,4.2,8.55,0.3841,0.7611,0.6508,0.25,153,23,276,162,2012
Hitoshi Nishimura,0000-0001-5068-1738,Physics,0,5,2019,2014,1380,3.75,7.66,0.3778,0.7789,0.5672,0.2957,160,18,328,194,2012
Hitoshi Nishimura,0000-0001-5068-1738,Physics,0,10,2019,2009,233,3.54,7.14,0.3812,0.7885,0.55,0.2941,180,7,391,227,2012
D. Neely,0000-0001-7709-4074,Physics,0,0,2019,2019,4937,12.82,16.77,0.3333,0.8072,0.6165,0.019,81,39,368,276,2012
D. Neely,0000-0001-7709-4074,Physics,0,5,2019,2014,1854,11.95,16.38,0.3097,0.8088,0.5476,0.0105,72,20,381,283,2012
D. Neely,0000-0001-7709-4074,Physics,0,10,2019,2009,155,10.97,15.65,0.3004,0.811,0.4682,0.0064,66,6,311,220,2012
S. Brezinsek,0000-0002-7213-3326,Physics,0,0,2023,2023,4741,7.22,18.3,0.3098,0.8027,0.0,0.0,43,32,500,290,2013
S. Brezinsek,0000-0002-7213-3326,Physics,0,5,2023,2018,861,6.54,16.52,0.2862,0.7978,0.0,0.0,26,16,239,120,2013
Christian Spielmann,0000-0002-5223-4170,Physics,0,0,2017,2017,2670,5.71,6.86,0.3257,0.8471,0.646,0.0271,62,21,221,158,2012
Christian Spielmann,0000-0002-5223-4170,Physics,0,5,2017,2012,602,4.34,6.0,0.275,0.8326,0.646,0.0265,54,12,226,157,2012
Christian Spielmann,0000-0002-5223-4170,Physics,0,10,2017,2007,59,3.62,5.56,0.2461,0.8273,0.3909,0.0146,48,3,206,149,2012
B. Lipschultz,0000-0001-5968-3684,Physics,0,0,2024,2024,7766,8.26,15.11,0.2335,0.8046,0.0,0.0,33,43,317,174,2012
B. Lipschultz,0000-0001-5968-3684,Physics,0,5,2024,2019,4461,7.88,14.29,0.2188,0.7973,0.0,0.0,31,32,325,158,2012
B. Lipschultz,0000-0001-5968-3684,Physics,0,10,2024,2014,1773,6.77,12.9,0.2134,0.7963,0.0,0.0,26,20,355,147,2012
Vladislav S. Yakovlev,0000-0002-0648-9375,Physics,0,0,2008,2008,1,4.02,8.22,0.243,0.8667,0.7292,0.02,19,1,50,29,2012
Vladislav S. Yakovlev,0000-0002-0648-9375,Physics,0,5,2008,2003,0,3.44,7.38,0.2612,0.825,0.7292,0.0625,10,0,16,8,2012
B. LaBombard,0000-0002-7841-9261,Physics,0,0,2010,2010,54,5.22,10.44,0.2271,0.8015,1.0,0.0027,30,3,370,164,2012
B. LaBombard,0000-0002-7841-9261,Physics,0,5,2010,2005,142,4.75,9.8,0.2165,0.8013,0.0,0.0,29,7,289,137,2012
B. LaBombard,0000-0002-7841-9261,Physics,0,10,2010,2000,119,4.97,10.23,0.209,0.7987,0.0,0.0,23,7,179,87,2012
G. Krämer,0000-0001-5105-8139,Physics,0,0,2019,2019,3420,5.84,10.76,0.2418,0.8249,0.0,0.0,47,28,381,226,2012
G. Krämer,0000-0001-5105-8139,Physics,0,5,2019,2014,1449,5.8,10.58,0.2366,0.835,0.0,0.0,46,16,372,215,2012
G. Krämer,0000-0001-5105-8139,Physics,0,10,2019,2009,262,5.33,9.31,0.2242,0.8453,0.0,0.0,51,10,315,169,2012
Katsumi Midorikawa,0000-0002-0588-519X,Physics,0,0,2008,2008,191,4.96,6.43,0.2235,0.8044,0.9087,0.012,70,6,500,352,2012
Katsumi Midorikawa,0000-0002-0588-519X,Physics,0,5,2008,2003,169,5.51,7.87,0.2371,0.7922,0.4625,0.0036,42,6,278,192,2012
Katsumi Midorikawa,0000-0002-0588-519X,Physics,0,10,2008,1998,59,6.26,9.1,0.2297,0.7647,0.0,0.0,24,3,72,44,2012
P.C. Stangeby,0000-0002-3511-2286,Physics,0,0,2019,2019,4276,7.12,12.23,0.227,0.8036,0.0,0.0,25,28,260,120,2012
P.C. Stangeby,0000-0002-3511-2286,Physics,0,5,2019,2014,1443,7.54,11.86,0.2074,0.8095,0.0,0.0,21,15,231,98,2012
P.C. Stangeby,0000-0002-3511-2286,Physics,0,10,2019,2009,110,7.28,11.29,0.2163,0.8155,0.0,0.0,22,6,195,93,2012
O. Sauter,0000-0002-0099-6675,Physics,0,0,2024,2024,6912,8.95,13.38,0.2462,0.8136,0.0,0.0,47,43,500,345,2012
O. Sauter,0000-0002-0099-6675,Physics,0,5,2024,2019,3284,8.91,13.17,0.2406,0.8154,0.0,0.0,39,28,406,282,2012
O. Sauter,0000-0002-0099-6675,Physics,0,10,2024,2014,1009,9.04,13.17,0.2314,0.8223,0.0,0.0,31,16,265,205,2012
N. J. Fisch,0000-0002-0301-7380,Physics,0,0,2023,2023,3852,3.63,4.4,0.2372,0.8065,0.4167,0.008,50,30,500,345,2012
N. J. Fisch,0000-0002-0301-7380,Physics,0,5,2023,2018,1862,3.38,4.08,0.2346,0.7989,0.4167,0.0115,44,21,349,234,2012
N. J. Fisch,0000-0002-0301-7380,Physics,0,10,2023,2013,392,3.72,4.62,0.2282,0.7897,0.5834,0.0103,30,10,195,133,2012
R. Budny,0000-0001-5472-3771,Physics,0,0,2006,2006,204,5.2,19.41,0.2305,0.8248,0.25,0.0023,29,7,431,345,2012
R. Budny,0000-0001-5472-3771,Physics,0,5,2006,2001,412,5.12,19.64,0.2351,0.8211,0.0,0.0,28,11,388,307,2012
R. Budny,0000-0001-5472-3771,Physics,0,10,2006,1996,438,5.2,20.15,0.23,0.8199,0.0,0.0,22,12,263,219,2012
M. Yokoyama,0000-0001-8856-1483,Physics,0,0,2023,2023,4449,9.44,17.45,0.2554,0.8173,0.7142,0.0409,56,32,318,232,2012
M. Yokoyama,0000-0001-8856-1483,Physics,0,5,2023,2018,3934,14.95,23.84,0.2595,0.8195,0.6776,0.0606,66,28,396,299,2012
M. Yokoyama,0000-0001-8856-1483,Physics,0,10,2023,2013,1399,15.0,22.93,0.2712,0.8199,0.6641,0.0734,71,19,368,273,2012
R. B. White,0000-0002-4239-2685,Physics,0,0,2019,2019,2165,7.14,8.48,0.247,0.8419,0.0,0.0,32,25,311,202,2012
R. B. White,0000-0002-4239-2685,Physics,0,5,2019,2014,1057,7.35,8.79,0.2611,0.8376,0.0,0.0,35,15,363,239,2012
R. B. White,0000-0002-4239-2685,Physics,0,10,2019,2009,119,7.65,9.07,0.2574,0.8398,0.0,0.0,36,5,348,241,2012
Thomas Brabec,0000-0002-0784-0614,Physics,0,0,2023,2023,3872,4.59,5.25,0.3178,0.8524,0.4166,0.0226,49,32,133,104,2012
Thomas Brabec,0000-0002-0784-0614,Physics,0,5,2023,2018,3716,4.08,4.57,0.3089,0.858,0.4166,0.0208,42,27,144,114,2012
Thomas Brabec,0000-0002-0784-0614,Physics,0,10,2023,2013,1116,3.54,4.29,0.2848,0.8511,0.4166,0.0238,37,14,126,99,2012
W. Becker,0000-0001-8939-0372,Physics,0,0,2023,2023,5319,3.67,4.54,0.3436,0.8418,0.5256,0.0854,53,36,164,135,2012
W. Becker,0000-0001-8939-0372,Physics,0,5,2023,2018,4456,3.42,4.48,0.3406,0.8397,0.5877,0.0777,57,33,206,161,2012
W. Becker,0000-0001-8939-0372,Physics,0,10,2023,2013,1169,3.11,4.18,0.3321,0.8356,0.6358,0.0718,55,17,195,148,2012
A. Kallenbach,0000-0003-0538-2493,Physics,0,0,2017,2017,4223,7.83,17.99,0.229,0.8159,0.0,0.0,37,33,368,201,2012
A. Kallenbach,0000-0003-0538-2493,Physics,0,5,2017,2012,612,7.61,19.54,0.2189,0.8216,0.0,0.0,35,10,324,169,2012
A. Kallenbach,0000-0003-0538-2493,Physics,0,10,2017,2007,230,7.12,18.79,0.2224,0.8232,0.0,0.0,28,8,273,133,2012
C. Stöeckl,0000-0001-5375-5800,Physics,0,0,2023,2023,7038,12.0,17.39,0.3284,0.8106,0.4313,0.004,40,46,500,276,2012
C. Stöeckl,0000-0001-5375-5800,Physics,0,5,2023,2018,3537,12.54,17.5,0.3171,0.8102,0.4313,0.0052,32,32,383,201,2012
C. Stöeckl,0000-0001-5375-5800,Physics,0,10,2023,2013,683,12.76,17.94,0.32,0.8055,0.6292,0.0049,23,14,204,111,2012
P. Beiersdörfer,0000-0003-0127-599X,Physics,0,0,2011,2011,38,4.86,8.79,0.2621,0.8353,0.0,0.0,71,3,500,331,2012
