name,orcid,field,is_nobel,horizon,ref_year,cutoff_year,total_citations,avg_author_position,avg_authors_per_paper,complexity_keyword_score,complexity_concept_score,complexity_mesh_score,mesh_coverage,journals,h_index,total_publications,complexity_n_works_analyzed,cby_min_year
Eugene W. Myers,0000-0002-6580-7839,Medicine,0,5,2024,2019,14228,7.59,11.88,0.5274,0.8211,0.5988,0.5333,40,38,105,74,2012
Eugene W. Myers,0000-0002-6580-7839,Medicine,0,10,2024,2014,5544,5.88,10.51,0.4833,0.803,0.611,0.5176,38,24,85,55,2012
Nils Gehlenborg,0000-0003-0327-8297,Medicine,0,0,2017,2017,6180,16.63,25.77,0.3219,0.7503,0.425,0.3205,22,22,78,46,2012
Nils Gehlenborg,0000-0003-0327-8297,Medicine,0,5,2017,2012,142,1.92,5.75,0.3663,0.7969,0.4949,0.5,9,5,24,15,2012
Nils Gehlenborg,0000-0003-0327-8297,Medicine,0,10,2017,2007,0,1.33,3.0,0.3028,0.8964,0.5417,0.3333,3,0,3,3,2012
Roland Eils,0000-0002-0034-4036,Medicine,0,0,2017,2017,12490,9.76,14.03,0.5369,0.8213,0.6612,0.4638,173,50,470,315,2012
Roland Eils,0000-0002-0034-4036,Medicine,0,5,2017,2012,1330,6.86,9.64,0.5546,0.8229,0.6835,0.5052,132,17,291,176,2012
Roland Eils,0000-0002-0034-4036,Medicine,0,10,2017,2007,53,5.6,8.37,0.586,0.8256,0.6865,0.4935,78,4,154,77,2012
Sarah A. Teichmann,0000-0002-6294-6366,Medicine,0,0,2018,2018,11814,6.86,8.95,0.5076,0.8751,0.5585,0.4133,96,56,271,177,2012
Sarah A. Teichmann,0000-0002-6294-6366,Medicine,0,5,2018,2013,2200,5.12,6.56,0.4396,0.8747,0.5284,0.4565,63,24,138,77,2012
Sarah A. Teichmann,0000-0002-6294-6366,Medicine,0,10,2018,2008,16,4.29,5.39,0.4216,0.8708,0.5263,0.4048,39,2,84,39,2012
Mark D. Robinson,0000-0002-3048-5518,Medicine,0,0,2020,2020,34467,5.55,8.89,0.4784,0.8242,0.6401,0.3345,105,56,284,227,2012
Mark D. Robinson,0000-0002-3048-5518,Medicine,0,5,2020,2015,7472,4.48,8.45,0.488,0.7938,0.6477,0.4234,67,32,137,100,2012
Mark D. Robinson,0000-0002-3048-5518,Medicine,0,10,2020,2010,26,3.7,8.31,0.5464,0.7548,0.6531,0.6338,43,3,71,49,2012
Pavel Tomančák,0000-0002-2222-9370,Medicine,0,0,2021,2021,42392,6.44,8.06,0.4127,0.836,0.5201,0.391,57,45,156,98,2012
Pavel Tomančák,0000-0002-2222-9370,Medicine,0,5,2021,2016,7492,5.75,7.13,0.4616,0.8456,0.5198,0.5169,41,29,89,57,2012
Pavel Tomančák,0000-0002-2222-9370,Medicine,0,10,2021,2011,1,4.2,6.03,0.4873,0.8578,0.5572,0.6,24,1,40,28,2012
Curtis Rueden,0000-0001-7055-6707,Medicine,0,0,2009,2009,2,2.47,6.07,0.4709,0.765,0.7656,0.4667,8,1,15,13,2012
Curtis Rueden,0000-0001-7055-6707,Medicine,0,5,2009,2004,1,1.8,6.4,0.211,0.7066,0.2552,0.2,3,1,5,3,2012
Curtis Rueden,0000-0001-7055-6707,Medicine,0,10,2009,1999,0,2.0,6.0,0.1,0.6328,0.0,0.0,0,0,1,1,
Fabian J. Theis,0000-0002-2419-1943,Medicine,0,0,2021,2021,22764,10.2,12.82,0.5786,0.8087,0.694,0.386,158,70,500,378,2012
Fabian J. Theis,0000-0002-2419-1943,Medicine,0,5,2021,2016,2547,7.11,9.01,0.606,0.8191,0.7239,0.4652,90,27,187,126,2012
Fabian J. Theis,0000-0002-2419-1943,Medicine,0,10,2021,2011,0,3.5,4.0,0.1416,0.8834,0.25,0.5,2,0,2,2,2012
Ignacio Arganda‐Carreras,0000-0003-0229-5722,Medicine,0,0,2013,2013,651,2.07,6.64,0.5419,0.7619,0.7233,0.5714,11,7,14,11,2012
Ignacio Arganda‐Carreras,0000-0003-0229-5722,Medicine,0,5,2013,2008,0,1.25,5.5,0.2877,0.6997,0.751,0.25,3,0,4,3,2012
Jean-Yves Tinévez,0000-0002-0998-4718,Medicine,0,0,2023,2023,53950,4.05,6.48,0.3086,0.732,0.4452,0.1351,53,24,185,163,2012
Jean-Yves Tinévez,0000-0002-0998-4718,Medicine,0,5,2023,2018,12209,3.75,7.17,0.3804,0.6782,0.4745,0.25,32,13,76,61,2012
Jean-Yves Tinévez,0000-0002-0998-4718,Medicine,0,10,2023,2013,582,2.44,5.03,0.3565,0.5788,0.4671,0.2778,20,6,36,26,2012
Stephan Preibisch,0000-0002-0276-494X,Medicine,0,0,2024,2024,65276,6.21,13.56,0.4332,0.8429,0.566,0.2959,44,30,98,77,2012
Stephan Preibisch,0000-0002-0276-494X,Medicine,0,5,2024,2019,19166,4.06,6.4,0.4954,0.8455,0.5924,0.5,29,19,48,36,2012
Stephan Preibisch,0000-0002-0276-494X,Medicine,0,10,2024,2014,1905,2.57,5.21,0.4806,0.8391,0.6315,0.5,19,11,28,19,2012
Benjamin Schmid,0000-0002-9327-2296,Medicine,0,0,2021,2021,34758,3.96,8.77,0.4725,0.8029,0.5451,0.4464,42,20,56,42,2012
Benjamin Schmid,0000-0002-9327-2296,Medicine,0,5,2021,2016,5104,3.09,6.26,0.4384,0.8082,0.5477,0.4571,26,12,35,25,2012
Benjamin Schmid,0000-0002-9327-2296,Medicine,0,10,2021,2011,2,3.39,6.72,0.4246,0.8082,0.6896,0.2778,16,1,18,14,2012
Erwin Frise,0000-0002-9281-4567,Medicine,0,0,2018,2018,11493,6.67,13.4,0.4833,0.8422,0.5741,0.6,10,11,15,13,2012
Erwin Frise,0000-0002-9281-4567,Medicine,0,5,2018,2013,590,4.79,10.86,0.4905,0.8334,0.5393,0.6429,10,8,14,12,2012
Erwin Frise,0000-0002-9281-4567,Medicine,0,10,2018,2008,0,5.0,11.8,0.4548,0.8067,0.5417,0.5,7,0,10,9,2012
Tobias Pietzsch,0000-0002-9477-3957,Medicine,0,0,2018,2018,10863,2.28,5.08,0.3678,0.7257,0.4062,0.2,11,8,25,18,2012
Tobias Pietzsch,0000-0002-9477-3957,Medicine,0,5,2018,2013,435,2.08,3.83,0.2434,0.6685,0.4375,0.0833,5,4,12,8,2012
Tobias Pietzsch,0000-0002-9477-3957,Medicine,0,10,2018,2008,4,1.0,1.6,0.2333,0.5692,0.0,0.0,1,1,5,3,2012
Rahul Satija,0000-0002-1479-664X,Medicine,0,0,2009,2009,0,14.75,28.25,0.8333,0.8488,0.8333,1.0,4,0,4,4,2012
Garry P. Nolan,0000-0002-8862-9043,Medicine,0,0,2007,2007,136,4.37,5.92,0.5537,0.8282,0.665,0.6267,68,7,150,85,2012
Garry P. Nolan,0000-0002-8862-9043,Medicine,0,5,2007,2002,165,4.45,6.57,0.5158,0.8412,0.6161,0.6344,45,8,93,50,2012
Garry P. Nolan,0000-0002-8862-9043,Medicine,0,10,2007,1997,138,3.78,6.78,0.464,0.8396,0.5938,0.5556,26,7,54,36,2012
Xiaowei Zhuang,0000-0002-6034-7853,Medicine,0,0,2024,2024,45499,8.28,9.35,0.5251,0.8481,0.631,0.4182,82,95,275,177,2012
Xiaowei Zhuang,0000-0002-6034-7853,Medicine,0,5,2024,2019,22157,5.22,5.96,0.4926,0.846,0.6063,0.4779,69,66,226,136,2012
Xiaowei Zhuang,0000-0002-6034-7853,Medicine,0,10,2024,2014,6844,4.02,4.96,0.4624,0.8405,0.581,0.4343,64,41,175,91,2012
John C. Marioni,0000-0001-9092-0852,Medicine,0,0,2019,2019,13722,8.0,10.31,0.5678,0.8589,0.696,0.3803,65,55,234,192,2012
John C. Marioni,0000-0001-9092-0852,Medicine,0,5,2019,2014,2604,6.39,9.19,0.5583,0.8531,0.6995,0.5072,33,22,69,54,2012
John C. Marioni,0000-0001-9092-0852,Medicine,0,10,2019,2009,0,4.24,9.29,0.6739,0.847,0.6911,0.8235,12,0,17,11,2012
Peter K. Sorger,0000-0002-3364-1838,Medicine,0,0,2005,2005,4,3.55,4.55,0.439,0.8546,0.5241,0.5217,30,1,69,33,2012
Peter K. Sorger,0000-0002-3364-1838,Medicine,0,5,2005,2000,4,3.39,4.85,0.3602,0.8566,0.4151,0.3939,14,1,33,11,2012
Peter K. Sorger,0000-0002-3364-1838,Medicine,0,10,2005,1995,0,3.1,4.75,0.3943,0.7767,0.4144,0.45,9,0,20,7,2012
Michael Hawrylycz,0000-0002-5741-8024,Medicine,0,0,2009,2009,1,5.3,11.0,0.5214,0.7814,0.7205,0.3243,23,1,37,21,2012
Michael Hawrylycz,0000-0002-5741-8024,Medicine,0,5,2009,2004,5,1.76,4.06,0.5097,0.6941,0.6459,0.1176,11,1,17,11,2012
Michael Hawrylycz,0000-0002-5741-8024,Medicine,0,10,2009,1999,5,1.5,1.67,0.2333,0.6082,0.0,0.0,9,1,12,7,2012
Dana Pe’er,0000-0002-9259-8817,Medicine,0,0,2013,2013,1619,5.54,6.69,0.6473,0.8346,0.72,0.4375,22,16,48,41,2012
Dana Pe’er,0000-0002-9259-8817,Medicine,0,5,2013,2008,0,2.5,4.08,0.667,0.8133,0.9196,0.5833,10,0,12,10,2012
Dana Pe’er,0000-0002-9259-8817,Medicine,0,10,2013,2003,0,2.86,4.0,0.6405,0.8085,0.8958,0.5714,5,0,7,5,2012
Efthymia Papalexi,0000-0001-5898-694X,Medicine,0,0,2018,2018,358,5.0,11.27,0.6476,0.8363,0.8472,0.2727,9,3,11,5,2012
Efthymia Papalexi,0000-0001-5898-694X,Medicine,0,5,2018,2013,0,1.0,1.0,0.0,0.7995,0.0,0.0,0,0,1,0,2015
Ed S. Lein,0000-0001-9012-6552,Medicine,0,0,2012,2012,489,8.57,17.0,0.5944,0.8348,0.7031,0.6957,14,9,23,11,2012
Ed S. Lein,0000-0001-9012-6552,Medicine,0,5,2012,2007,0,1.25,27.25,0.4469,0.7667,0.5938,0.5,4,0,4,3,2012
Atsushi Miyawaki,0000-0002-0671-4376,Medicine,0,0,2007,2007,34,3.81,5.8,0.5334,0.8326,0.6518,0.4691,91,3,194,85,2012
Atsushi Miyawaki,0000-0002-0671-4376,Medicine,0,5,2007,2002,27,3.31,6.38,0.5355,0.8305,0.6106,0.4886,48,3,88,41,2012
Atsushi Miyawaki,0000-0002-0671-4376,Medicine,0,10,2007,1997,8,3.41,7.11,0.5224,0.8368,0.5956,0.4643,30,2,56,23,2012
Susan M. Sunkin,0000-0001-9893-3834,Medicine,0,0,2017,2017,7326,8.9,20.57,0.5109,0.8314,0.5773,0.6393,30,25,61,27,2012
Susan M. Sunkin,0000-0001-9893-3834,Medicine,0,5,2017,2012,635,7.46,11.66,0.558,0.803,0.5957,0.7805,27,10,41,18,2012
Susan M. Sunkin,0000-0001-9893-3834,Medicine,0,10,2017,2007,0,7.05,9.86,0.4526,0.7526,0.4987,0.7273,15,0,22,12,2012
Jean Yang,0000-0002-5271-2603,Medicine,0,0,2024,2024,9160,7.35,9.99,0.5245,0.7887,0.657,0.3523,152,48,352,288,2012
Jean Yang,0000-0002-5271-2603,Medicine,0,5,2024,2019,9695,5.81,8.23,0.5604,0.7888,0.6972,0.4278,95,26,180,142,2012
Jean Yang,0000-0002-5271-2603,Medicine,0,10,2024,2014,3820,4.44,6.79,0.5711,0.7869,0.7408,0.4533,44,16,75,55,2012
Emma Lundberg,0000-0001-7034-0850,Medicine,0,0,2019,2019,10200,7.16,11.66,0.5228,0.8281,0.5943,0.4221,50,30,154,114,2012
Emma Lundberg,0000-0001-7034-0850,Medicine,0,5,2019,2014,1513,4.92,9.24,0.5818,0.8336,0.647,0.5696,28,18,79,62,2012
Emma Lundberg,0000-0001-7034-0850,Medicine,0,10,2019,2009,1,3.15,7.58,0.5417,0.805,0.6042,0.3462,8,1,26,19,2012
Lydia Ng,0000-0002-7499-3514,Medicine,0,0,2013,2013,1168,3.86,8.86,0.5212,0.7957,0.762,0.2571,25,11,70,48,2012
Lydia Ng,0000-0002-7499-3514,Medicine,0,5,2013,2008,13,3.67,7.13,0.4972,0.774,0.8139,0.1304,12,2,46,38,2012
Lydia Ng,0000-0002-7499-3514,Medicine,0,10,2013,2003,10,1.83,4.17,0.3139,0.6386,0.7167,0.1667,3,1,6,4,2012
Yvan Saeys,0000-0002-0415-1506,Medicine,0,0,2015,2015,2433,3.24,5.44,0.3807,0.7856,0.6278,0.2212,30,17,113,61,2012
Yvan Saeys,0000-0002-0415-1506,Medicine,0,5,2015,2010,8,2.49,4.71,0.3173,0.8008,0.5721,0.2063,15,2,63,34,2012
Yvan Saeys,0000-0002-0415-1506,Medicine,0,10,2015,2005,4,1.95,4.52,0.3451,0.8226,0.575,0.2381,8,1,21,8,2012
Michael W. Davidson,0000-0002-6420-952X,Medicine,0,0,2017,2017,12588,4.38,5.84,0.421,0.7711,0.6294,0.337,91,47,273,199,2012
Michael W. Davidson,0000-0002-6420-952X,Medicine,0,5,2017,2012,1322,3.18,4.03,0.3833,0.7588,0.6136,0.3,55,16,150,107,2012
Michael W. Davidson,0000-0002-6420-952X,Medicine,0,10,2017,2007,23,2.88,4.24,0.349,0.7644,0.4846,0.3061,34,3,49,27,2012
Scott E. Fraser,0000-0002-5377-0223,Medicine,0,0,2020,2020,10948,4.59,5.87,0.4689,0.7865,0.6421,0.3859,131,51,355,238,2012
Scott E. Fraser,0000-0002-5377-0223,Medicine,0,5,2020,2015,5577,3.97,5.19,0.4739,0.7858,0.6373,0.4225,124,39,329,202,2012
Scott E. Fraser,0000-0002-5377-0223,Medicine,0,10,2020,2010,62,3.51,4.32,0.4757,0.7956,0.5971,0.4639,112,4,291,177,2012
Anne E. Carpenter,0000-0003-1555-8261,Medicine,0,0,2018,2018,8887,6.44,8.72,0.5264,0.8091,0.6415,0.4157,72,44,178,112,2012
Anne E. Carpenter,0000-0003-1555-8261,Medicine,0,5,2018,2013,1875,5.3,7.82,0.4595,0.8006,0.5715,0.3423,46,21,111,60,2012
Anne E. Carpenter,0000-0003-1555-8261,Medicine,0,10,2018,2008,0,3.23,6.1,0.4843,0.8655,0.6229,0.4516,25,0,31,18,2012
Shalev Itzkovitz,0000-0003-0685-2522,Medicine,0,0,2015,2015,4167,3.06,7.55,0.424,0.839,0.5328,0.4219,34,24,64,40,2012
Shalev Itzkovitz,0000-0003-0685-2522,Medicine,0,5,2015,2010,0,2.45,5.8,0.431,0.8434,0.6168,0.35,19,0,40,30,2012
Shalev Itzkovitz,0000-0003-0685-2522,Medicine,0,10,2015,2005,0,2.06,4.82,0.3247,0.8473,0.5903,0.1765,8,0,17,14,2012
Jeff W. Lichtman,0000-0002-0208-3212,Medicine,0,0,2021,2021,13609,6.16,7.39,0.4927,0.8113,0.6268,0.3889,81,54,234,142,2012
Jeff W. Lichtman,0000-0002-0208-3212,Medicine,0,5,2021,2016,6754,4.77,5.71,0.4858,0.8111,0.5572,0.5029,62,42,175,103,2012
Jeff W. Lichtman,0000-0002-0208-3212,Medicine,0,10,2021,2011,27,4.02,5.26,0.4415,0.8059,0.4976,0.536,54,2,125,63,2012
Evan Z. Macosko,0000-0002-2794-5165,Medicine,0,0,2021,2021,11969,13.35,17.59,0.5589,0.8428,0.715,0.359,20,28,78,52,2012
Evan Z. Macosko,0000-0002-2794-5165,Medicine,0,5,2021,2016,1047,2.88,8.25,0.4189,0.8067,0.5347,0.375,8,10,16,6,2012
Evan Z. Macosko,0000-0002-2794-5165,Medicine,0,10,2021,2011,0,3.2,6.2,0.2334,0.8072,0.2778,0.6,4,0,5,2,2012
Maryann E. Martone,0000-0002-8406-3871,Medicine,0,0,2014,2014,2163,4.52,6.82,0.4183,0.7882,0.5864,0.3317,79,24,205,143,2012
Maryann E. Martone,0000-0002-8406-3871,Medicine,0,5,2014,2009,89,3.96,6.71,0.5,0.7851,0.6206,0.4198,61,5,162,106,2012
Maryann E. Martone,0000-0002-8406-3871,Medicine,0,10,2014,2004,100,3.08,5.69,0.5134,0.7911,0.611,0.4397,50,6,116,68,2012
Markus Sauer,0000-0002-1692-3219,Medicine,0,0,2021,2021,15223,5.68,7.37,0.4328,0.8303,0.5816,0.3593,164,63,437,320,2012
Markus Sauer,0000-0002-1692-3219,Medicine,0,5,2021,2016,6430,4.64,6.22,0.4323,0.8192,0.5902,0.345,134,41,342,236,2012
Markus Sauer,0000-0002-1692-3219,Medicine,0,10,2021,2011,79,4.37,6.13,0.419,0.813,0.6294,0.2937,97,5,269,181,2012
Ernst H. K. Stelzer,0000-0003-1545-0736,Medicine,0,0,2014,2014,3418,11.57,14.38,0.4223,0.8325,0.6004,0.3489,95,29,235,123,2012
Ernst H. K. Stelzer,0000-0003-1545-0736,Medicine,0,5,2014,2009,74,10.97,14.11,0.398,0.835,0.6142,0.2681,91,6,235,114,2012
Ernst H. K. Stelzer,0000-0003-1545-0736,Medicine,0,10,2014,2004,322,11.45,15.22,0.3666,0.8287,0.5979,0.1943,73,9,211,103,2012
Wataru Fujibuchi,0000-0003-2243-9981,Medicine,0,0,2014,2014,3218,3.79,6.23,0.4855,0.8221,0.6863,0.3699,43,11,73,48,2012
Wataru Fujibuchi,0000-0003-2243-9981,Medicine,0,5,2014,2009,10,3.0,5.24,0.4902,0.8211,0.6764,0.3571,24,2,42,26,2012
Wataru Fujibuchi,0000-0003-2243-9981,Medicine,0,10,2014,2004,6,1.92,3.46,0.4937,0.8846,0.6823,0.3077,7,1,13,11,2012
Nir Yosef,0000-0001-9004-1225,Medicine,0,0,2007,2007,2,3.5,7.75,0.7222,0.8666,0.7222,0.75,3,1,4,2,2012
Nir Yosef,0000-0001-9004-1225,Medicine,0,5,2007,2002,2,1.0,2.0,0.0,0.7665,0.0,0.0,1,1,1,0,
Nir Yosef,0000-0001-9004-1225,Medicine,0,10,2007,1997,2,1.0,2.0,0.0,0.7665,0.0,0.0,1,1,1,0,
Paul A. Clemons,0000-0002-1800-5112,Medicine,0,0,2017,2017,4248,11.34,15.82,0.5897,0.8064,0.655,0.536,54,28,125,90,2012
Paul A. Clemons,0000-0002-1800-5112,Medicine,0,5,2017,2012,406,5.53,7.84,0.574,0.8088,0.6207,0.6182,27,8,55,39,2012
Paul A. Clemons,0000-0002-1800-5112,Medicine,0,10,2017,2007,21,2.91,4.55,0.7271,0.7909,0.7292,0.5909,13,2,22,10,2012
Gerard J. Kleywegt,0000-0002-4670-0331,Medicine,0,0,2023,2023,13860,8.84,12.13,0.5323,0.8285,0.6182,0.5106,49,44,141,104,2012
Gerard J. Kleywegt,0000-0002-4670-0331,Medicine,0,5,2023,2018,4136,7.76,10.5,0.5833,0.8321,0.6596,0.4934,47,34,152,96,2012
Gerard J. Kleywegt,0000-0002-4670-0331,Medicine,0,10,2023,2013,1530,5.22,6.81,0.5851,0.8243,0.6753,0.4539,41,22,152,80,2012
Jan Ellenberg,0000-0001-5909-701X,Medicine,0,0,2012,2012,1310,5.63,7.12,0.5628,0.8732,0.6575,0.5772,46,20,123,58,2012
Jan Ellenberg,0000-0001-5909-701X,Medicine,0,5,2012,2007,11,4.73,6.22,0.5599,0.8734,0.6599,0.557,31,2,79,36,2012
Jan Ellenberg,0000-0001-5909-701X,Medicine,0,10,2012,2002,6,3.74,5.96,0.4772,0.8692,0.5714,0.5185,16,1,27,15,2012
Allan R. Jones,0000-0001-6169-9749,Medicine,0,0,2009,2009,24,5.04,7.87,0.5145,0.7708,0.6699,0.5652,13,1,23,11,2012
Allan R. Jones,0000-0001-6169-9749,Medicine,0,5,2009,2004,29,2.71,4.88,0.3744,0.6913,0.618,0.3529,10,2,17,12,2012
Allan R. Jones,0000-0001-6169-9749,Medicine,0,10,2009,1999,29,2.36,3.0,0.2454,0.6538,0.3694,0.2143,8,2,14,9,2012
Zichen Wang,0000-0002-1415-1286,Medicine,0,0,2020,2020,7354,4.9,13.08,0.4544,0.7894,0.5566,0.3133,55,25,83,54,2012
Zichen Wang,0000-0002-1415-1286,Medicine,0,5,2020,2015,213,3.38,7.75,0.4172,0.849,0.5969,0.3125,12,5,16,9,2012
Zichen Wang,0000-0002-1415-1286,Medicine,0,10,2020,2010,0,3.0,4.0,0.0,0.6669,0.0,0.0,1,0,1,0,2015
Michael Boutros,0000-0002-9458-817X,Medicine,0,0,2014,2014,2973,6.1,7.31,0.4538,0.8634,0.5111,0.4593,64,31,135,76,2012
Michael Boutros,0000-0002-9458-817X,Medicine,0,5,2014,2009,2,4.56,6.27,0.4462,0.8548,0.5208,0.4583,32,1,48,21,2012
Michael Boutros,0000-0002-9458-817X,Medicine,0,10,2014,2004,0,2.92,5.62,0.4205,0.8329,0.4458,0.7692,8,0,13,5,2012
Bosiljka Tasic,0000-0002-6861-4506,Medicine,0,0,2021,2021,10849,22.4,28.2,0.5076,0.8489,0.6612,0.3694,30,35,111,69,2012
Bosiljka Tasic,0000-0002-6861-4506,Medicine,0,5,2021,2016,1869,3.7,8.8,0.546,0.8443,0.6046,0.7,12,14,20,9,2012
Bosiljka Tasic,0000-0002-6861-4506,Medicine,0,10,2021,2011,0,2.5,6.2,0.6581,0.8432,0.7092,0.7,7,0,10,5,2012
Rex L. Chisholm,0000-0002-5638-3990,Medicine,0,0,2008,2008,96,5.7,6.77,0.4006,0.837,0.4489,0.4426,26,5,61,40,2012
Rex L. Chisholm,0000-0002-5638-3990,Medicine,0,5,2008,2003,167,3.8,5.27,0.4526,0.824,0.4844,0.4909,26,8,55,35,2012
Rex L. Chisholm,0000-0002-5638-3990,Medicine,0,10,2008,1998,227,2.5,3.79,0.4542,0.828,0.5042,0.4167,23,9,48,29,2012
Christian Eggeling,0000-0002-3698-5599,Medicine,0,0,2016,2016,6536,5.37,7.72,0.5069,0.8455,0.6521,0.4064,81,44,219,119,2012
Christian Eggeling,0000-0002-3698-5599,Medicine,0,5,2016,2011,4,4.48,7.8,0.5107,0.8472,0.6918,0.4237,43,1,118,65,2012
Christian Eggeling,0000-0002-3698-5599,Medicine,0,10,2016,2006,4,3.52,6.23,0.5086,0.8469,0.7757,0.3115,25,1,61,35,2012
Bo Wang,0000-0002-9620-3413,Medicine,0,0,2006,2006,6,2.21,3.91,0.3892,0.6911,0.6329,0.2679,33,1,56,43,2012
Bo Wang,0000-0002-9620-3413,Medicine,0,5,2006,2001,3,1.91,4.82,0.3583,0.7547,0.4555,0.2727,7,1,11,6,2012
Bo Wang,0000-0002-9620-3413,Medicine,0,10,2006,1996,0,1.5,4.5,0.5833,0.7668,0.5833,0.5,2,0,2,1,2012
Qing Nie,0000-0002-8804-3368,Medicine,0,0,2006,2006,6,2.09,3.39,0.3294,0.7886,0.4792,0.2121,20,2,33,16,2012
Qing Nie,0000-0002-8804-3368,Medicine,0,5,2006,2001,3,1.85,2.23,0.2389,0.7481,0.0,0.0,8,1,13,7,2012
Qing Nie,0000-0002-8804-3368,Medicine,0,10,2006,1996,2,1.0,1.5,0.0,0.7334,0.0,0.0,2,1,2,1,2018
Richard H. Scheuermann,0000-0003-1355-892X,Medicine,0,0,2014,2014,1912,7.67,10.2,0.5168,0.8134,0.6133,0.4718,72,20,142,101,2012
Richard H. Scheuermann,0000-0003-1355-892X,Medicine,0,5,2014,2009,69,6.18,9.22,0.5189,0.8158,0.5898,0.5588,52,4,102,70,2012
Richard H. Scheuermann,0000-0003-1355-892X,Medicine,0,10,2014,2004,69,4.72,6.88,0.5126,0.8209,0.5584,0.7018,34,4,57,35,2012
Roberto Romero,0000-0002-4448-5121,Medicine,0,0,2008,2008,77,5.98,10.25,0.5684,0.737,0.6549,0.448,92,4,500,234,2012
Roberto Romero,0000-0002-4448-5121,Medicine,0,5,2008,2003,10,5.59,7.0,1.0,0.7201,1.0,0.0588,2,2,17,0,2012
K. H. Nicolaides,0000-0003-1266-0711,Medicine,0,0,2019,2019,13209,7.34,10.29,0.7197,0.7014,0.849,0.652,81,59,500,380,2012
K. H. Nicolaides,0000-0003-1266-0711,Medicine,0,5,2019,2014,1693,7.88,12.03,0.7204,0.6985,0.8184,0.6505,41,22,186,133,2012
Ross S. Berkowitz,0000-0002-7569-898X,Medicine,0,0,2022,2022,10191,7.04,9.94,0.5986,0.72,0.7062,0.5,95,49,396,179,2012
Ross S. Berkowitz,0000-0002-7569-898X,Medicine,0,5,2022,2017,4902,6.34,8.46,0.5996,0.7289,0.6832,0.5539,79,33,334,165,2012
Ross S. Berkowitz,0000-0002-7569-898X,Medicine,0,10,2022,2012,904,5.76,7.62,0.5821,0.7335,0.6573,0.5784,66,14,268,152,2012
Ronald J. Wapner,0000-0003-0727-1244,Medicine,0,0,2023,2023,10099,9.89,17.85,0.6008,0.7082,0.7142,0.5,117,50,500,337,2012
Ronald J. Wapner,0000-0003-0727-1244,Medicine,0,5,2023,2018,1419,7.89,18.2,0.6981,0.7106,0.7859,0.6076,55,22,158,100,2012
Susan J. Fisher,0000-0001-7745-4850,Medicine,0,0,2018,2018,10154,7.41,9.3,0.4798,0.773,0.6239,0.4178,104,47,225,132,2012
Susan J. Fisher,0000-0001-7745-4850,Medicine,0,5,2018,2013,2829,6.53,8.01,0.5259,0.7816,0.6288,0.5143,97,29,210,125,2012
Susan J. Fisher,0000-0001-7745-4850,Medicine,0,10,2018,2008,67,5.15,6.48,0.4899,0.7703,0.6114,0.516,90,4,188,109,2012
David Hill,0000-0003-1970-1432,Medicine,0,0,2016,2016,6235,4.98,7.59,0.5342,0.676,0.8037,0.282,109,37,500,200,2012
David Hill,0000-0003-1970-1432,Medicine,0,5,2016,2011,125,4.95,7.19,0.5493,0.6735,0.8032,0.3075,87,5,361,132,2012
David Hill,0000-0003-1970-1432,Medicine,0,10,2016,2006,118,4.7,6.88,0.5242,0.6696,0.7984,0.3077,61,5,247,95,2012
Lisa Sullivan,0000-0003-0726-7149,Medicine,0,0,2021,2021,20976,4.1,8.36,0.6755,0.658,0.813,0.5137,160,72,364,230,2012
Lisa Sullivan,0000-0003-0726-7149,Medicine,0,5,2021,2016,11922,4.01,7.73,0.6904,0.6642,0.7938,0.586,171,51,372,234,2012
Lisa Sullivan,0000-0003-0726-7149,Medicine,0,10,2021,2011,82,3.51,6.94,0.696,0.6519,0.7888,0.6046,149,5,306,187,2012
Carlos Simón,0000-0003-0902-9531,Medicine,0,0,2018,2018,8412,6.42,8.0,0.6146,0.7648,0.7281,0.438,94,49,500,205,2012
Carlos Simón,0000-0003-0902-9531,Medicine,0,5,2018,2013,1760,5.96,7.57,0.6514,0.7621,0.7486,0.4373,64,22,311,125,2012
Carlos Simón,0000-0003-0902-9531,Medicine,0,10,2018,2008,13,5.1,6.55,0.6857,0.7493,0.8086,0.4306,40,2,144,58,2012
Yuk Ming Dennis Lo,0000-0001-8746-0293,Medicine,0,0,2021,2021,15781,6.71,7.74,0.5577,0.7619,0.6353,0.6689,94,65,293,226,2012
Yuk Ming Dennis Lo,0000-0001-8746-0293,Medicine,0,5,2021,2016,8765,5.33,6.37,0.5424,0.7539,0.6144,0.7038,86,46,260,201,2012
Yuk Ming Dennis Lo,0000-0001-8746-0293,Medicine,0,10,2021,2011,41,4.81,6.14,0.5256,0.7547,0.5965,0.7123,72,5,219,164,2012
Jan Deprest,0000-0002-4920-945X,Medicine,0,0,2014,2014,2538,6.59,9.83,0.5541,0.7011,0.754,0.416,100,26,500,233,2012
Jan Deprest,0000-0002-4920-945X,Medicine,0,5,2014,2009,14,6.93,9.21,0.5441,0.708,0.7539,0.4559,34,2,136,69,2012
Jie Qiao,0000-0003-2126-1376,Medicine,0,0,2017,2017,4007,6.21,7.89,0.6119,0.7473,0.7365,0.5942,129,27,414,266,2012
Jie Qiao,0000-0003-2126-1376,Medicine,0,5,2017,2012,219,4.09,6.64,0.6451,0.734,0.7502,0.5882,62,6,187,110,2012
