name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
John M. Jumper,0000-0001-9254-7192,Chemistry,Nobel,27,85608,56,13.27,8.02,22,0.4669,0.8361,0.357,39,0.4235,0.2758,0.7623,0.0941,1.0,0.44,50.79,46.691,97,165,68,ok,95.0,163.0,44.047619047619044,38.69047619047619,68.0
Mohamed Eddaoudi,0000-0003-1916-9837,Chemistry,Elite (matched),125,94626,758,8.87,7.95,53,0.2609,0.8097,0.055,170,0.4353,0.313,0.6999,0.4853,1.0,1.0,50.472,47.78,98,62,-36,ok,96.0,62.0,43.452380952380956,45.83333333333333,-34.0
Christian von Mering,0000-0001-7734-9102,Chemistry,Elite (matched),100,128288,282,12.3,9.44,71,0.4131,0.8226,0.355,168,0.6294,0.2487,0.7407,0.7647,1.0,1.0,50.379,48.456,99,81,-18,ok,97.0,81.0,42.857142857142854,47.61904761904761,-16.0
Susan Holmes,0000-0002-2208-8168,Chemistry,Elite (matched),81,118156,391,12.11,8.04,101,0.4486,0.7608,0.375,169,0.5588,0.283,0.6984,0.9735,1.0,1.0,50.299,47.356,100,106,6,ok,98.0,106.0,42.26190476190476,42.857142857142854,8.0
Nam‐Gyu Park,0000-0003-2368-6300,Chemistry,Elite (matched),127,83700,1067,7.47,6.5,63,0.1813,0.7404,0.055,167,0.4118,0.3692,0.6286,0.6735,1.0,1.0,50.105,47.554,101,59,-42,ok,99.0,59.0,41.66666666666667,44.047619047619044,-40.0
M. Stanley Whittingham,0000-0003-4451-3168,Chemistry,Nobel,85,42792,564,7.52,6.83,61,0.3086,0.7271,0.015,145,0.3176,0.3595,0.6434,0.6353,1.0,1.0,50.064,46.113,102,101,-1,ok,100.0,101.0,41.07142857142857,36.30952380952381,1.0
M. Okamura,0000-0002-5552-1706,Chemistry,Elite (matched),26,26918,414,9.82,6.1,49,0.2916,0.7594,0.05,171,0.2235,0.3502,0.6658,0.4265,1.0,0.98,50.034,45.149,103,166,63,ok,101.0,164.0,40.476190476190474,33.63095238095239,63.0
Zhou Li,0000-0002-9952-7296,Chemistry,Elite (matched),92,29958,979,8.95,7.62,85,0.3518,0.7491,0.3,150,0.2471,0.3207,0.6696,0.9,1.0,1.0,49.899,45.149,104,90,-14,ok,102.0,90.0,39.88095238095239,33.63095238095239,-12.0
H. Burkhardt,0000-0003-2711-1141,Chemistry,Elite (matched),35,32237,252,14.79,4.81,32,0.3201,0.7732,0.007,121,0.2588,0.3385,0.6826,0.2206,1.0,0.64,49.897,44.715,105,160,55,ok,103.0,158.0,39.285714285714285,30.952380952380953,55.0
Steven L. Salzberg,0000-0002-8859-7432,Chemistry,Elite (matched),161,370099,600,15.09,11.07,56,0.5193,0.8273,0.63,168,0.9765,0.1978,0.7657,0.5559,1.0,1.0,49.427,49.954,106,27,-79,ok,104.0,27.0,38.69047619047619,57.14285714285714,-77.0
J. D. Bernal,0000-0003-0104-8439,Chemistry,Elite (matched),43,13276,169,7.0,2.68,15,0.3407,0.5932,0.441,23,0.1118,0.483,0.5427,0.0382,1.0,0.3,49.393,43.128,107,151,44,ok,105.0,150.0,38.095238095238095,22.61904761904762,45.0
Ruth E. Ley,0000-0002-9087-1672,Chemistry,Elite (matched),94,184171,328,13.09,9.38,78,0.4058,0.7851,0.345,146,0.8647,0.2455,0.7092,0.8382,1.0,1.0,49.384,49.365,108,87,-21,ok,106.0,87.0,37.5,52.976190476190474,-19.0
Chris P. Ponting,0000-0003-0202-7816,Chemistry,Elite (matched),134,111085,517,15.29,11.37,84,0.4813,0.8506,0.605,162,0.5118,0.1904,0.7767,0.8765,1.0,1.0,49.313,46.431,109,53,-56,ok,107.0,53.0,36.904761904761905,36.904761904761905,-54.0
Mercouri G. Kanatzidis,0000-0003-2037-4168,Chemistry,Elite (matched),199,190692,2826,9.13,8.36,42,0.3237,0.7626,0.04,170,0.8824,0.2998,0.6748,0.3412,1.0,0.84,49.275,49.874,110,6,-104,ok,108.0,6.0,36.30952380952381,56.547619047619044,-102.0
David Baker,0000-0001-7896-6217,Chemistry,Nobel,192,145185,1577,13.78,11.84,40,0.6546,0.8306,0.875,119,0.7176,0.1857,0.7954,0.3294,1.0,0.8,49.22,47.148,111,9,-102,ok,109.0,9.0,35.714285714285715,41.66666666666667,-100.0
Gerhard Ertl,0000-0001-5185-1936,Chemistry,Nobel,123,58950,880,10.22,5.43,34,0.2402,0.7218,0.008,54,0.3706,0.3627,0.6255,0.2529,1.0,0.68,48.633,45.135,112,63,-49,ok,110.0,63.0,35.11904761904761,32.73809523809524,-47.0
Peter J. Turnbaugh,0000-0002-0888-2875,Chemistry,Elite (matched),76,162767,279,12.37,10.48,78,0.4063,0.7926,0.275,128,0.8235,0.2238,0.7153,0.8382,1.0,1.0,48.553,48.472,113,112,-1,ok,111.0,112.0,34.523809523809526,48.214285714285715,1.0
Catherine Lozupone,0000-0003-4786-7202,Chemistry,Elite (matched),74,154895,202,16.77,9.65,82,0.3883,0.7996,0.293,159,0.7824,0.2221,0.7173,0.8559,1.0,1.0,48.518,47.977,114,119,5,ok,112.0,119.0,33.92857142857143,46.42857142857143,7.0
Dan Shechtman,0000-0002-3968-2115,Chemistry,Nobel,16,2115,61,7.35,6.62,24,0.3261,0.7067,0.088,21,0.0118,0.3677,0.6306,0.1294,0.2115,0.48,48.076,41.748,115,170,55,ok,113.0,168.0,33.33333333333333,16.666666666666664,55.0
Gábor Marth,0000-0003-0222-1694,Chemistry,Elite (matched),59,162654,233,17.51,12.76,58,0.5716,0.8363,0.337,131,0.8176,0.1534,0.7834,0.6059,1.0,1.0,47.919,47.274,116,131,15,ok,114.0,131.0,32.73809523809524,42.26190476190476,17.0
Rob Knight,0000-0002-0975-9019,Chemistry,Elite (matched),257,468351,1781,14.47,11.17,63,0.433,0.778,0.595,141,1.0,0.1981,0.709,0.6735,1.0,1.0,47.034,48.368,117,2,-115,ok,115.0,2.0,32.142857142857146,47.023809523809526,-113.0
Robert J. Lefkowitz,0000-0003-1364-3761,Chemistry,Nobel,31,17899,98,31.9,6.45,20,0.2286,0.8531,0.0,37,0.1471,0.2398,0.7282,0.0735,1.0,0.4,46.801,41.609,118,162,44,ok,116.0,160.0,31.547619047619047,15.476190476190476,44.0
Jay Shendure,0000-0002-1516-1865,Chemistry,Elite (matched),169,124345,662,17.57,14.04,54,0.5877,0.8528,0.84,90,0.6059,0.1261,0.7998,0.5118,1.0,1.0,46.743,44.658,119,22,-97,ok,117.0,22.0,30.952380952380953,30.357142857142854,-95.0
Ian H. Williams,0000-0001-9264-0221,Chemistry,Elite (matched),48,8366,1051,12.05,10.78,72,0.383,0.8028,0.12,167,0.0588,0.2185,0.7188,0.7765,0.8366,1.0,46.693,40.89,120,145,25,ok,118.0,144.0,30.357142857142854,12.5,26.0
J. Gregory Caporaso,0000-0002-8865-1670,Chemistry,Elite (matched),81,157422,269,16.49,10.44,84,0.4161,0.7529,0.35,175,0.7882,0.2062,0.6855,0.8765,1.0,1.0,46.292,45.909,121,106,-15,ok,119.0,106.0,29.761904761904763,35.714285714285715,-13.0
Daniel McDonald,0000-0003-0876-9060,Chemistry,Elite (matched),74,109674,315,21.78,9.26,81,0.403,0.7654,0.325,149,0.4882,0.2131,0.6929,0.8471,1.0,1.0,46.269,43.328,122,119,-3,ok,120.0,119.0,29.166666666666668,23.809523809523807,-1.0
Gil McVean,0000-0002-5012-4162,Chemistry,Elite (matched),105,133785,311,19.73,13.1,58,0.5149,0.8313,0.525,151,0.6588,0.141,0.768,0.6059,1.0,1.0,46.255,44.815,123,75,-48,ok,121.0,75.0,28.57142857142857,31.547619047619047,-46.0
Dan Knights,0000-0002-8205-2511,Chemistry,Elite (matched),82,136533,219,19.34,10.57,83,0.4139,0.765,0.365,147,0.6706,0.1939,0.6948,0.8647,1.0,1.0,45.869,44.593,124,105,-19,ok,122.0,105.0,27.976190476190478,29.761904761904763,-17.0
M. Pabst,0000-0002-3412-6846,Chemistry,Elite (matched),38,23560,141,10.0,7.61,16,0.3819,0.6972,0.174,17,0.1824,0.3105,0.6341,0.0471,1.0,0.32,45.694,40.486,125,159,34,ok,123.0,157.0,27.380952380952383,10.119047619047619,34.0
Curtis Huttenhower,0000-0002-1110-0096,Chemistry,Elite (matched),143,175042,655,20.08,14.35,68,0.5488,0.8087,0.62,130,0.8529,0.1149,0.7567,0.7471,1.0,1.0,45.19,45.372,126,41,-85,ok,124.0,41.0,26.785714285714285,35.11904761904761,-83.0
J. Craig Venter,0000-0002-7086-765X,Chemistry,Elite (matched),120,123605,278,14.3,12.19,54,0.4498,0.7852,0.434,117,0.5824,0.1758,0.7181,0.5118,1.0,1.0,45.157,43.417,127,68,-59,ok,125.0,68.0,26.190476190476193,25.595238095238095,-57.0
Akira Yoshino,0000-0001-6981-4982,Chemistry,Nobel,17,2783,133,9.8,7.22,26,0.3128,0.6812,0.0,25,0.0176,0.3222,0.6075,0.1471,0.2783,0.52,44.848,38.708,128,169,41,ok,126.0,167.0,25.595238095238095,4.761904761904762,41.0
Thomas T. Tidwell,0000-0002-3216-7468,Chemistry,Elite (matched),41,8085,1074,13.55,11.99,22,0.2252,0.8759,0.015,189,0.0471,0.1832,0.7458,0.0941,0.8085,0.44,44.772,40.109,129,154,25,ok,127.0,153.0,25.0,9.523809523809524,26.0
Philip Hugenholtz,0000-0001-5386-7925,Chemistry,Elite (matched),133,133499,878,15.63,11.28,64,0.4051,0.75,0.425,159,0.6529,0.1911,0.681,0.7059,1.0,1.0,44.691,43.572,130,55,-75,ok,128.0,55.0,24.404761904761905,27.380952380952383,-73.0
Charles Lee,0000-0001-7317-6662,Chemistry,Elite (matched),101,150263,541,19.57,15.37,104,0.5578,0.8026,0.665,138,0.7588,0.0949,0.7536,0.9853,1.0,1.0,44.409,44.021,131,79,-52,ok,129.0,79.0,23.809523809523807,29.166666666666668,-50.0
Robert E. Handsaker,0000-0002-3128-3547,Chemistry,Elite (matched),67,136316,120,39.68,13.16,29,0.4837,0.8482,0.472,74,0.6647,0.1134,0.7753,0.2,1.0,0.58,44.401,43.301,132,122,-10,ok,130.0,122.0,23.214285714285715,23.214285714285715,-8.0
Marc A. Suchard,0000-0001-9818-479X,Chemistry,Elite (matched),105,109089,687,16.27,12.2,85,0.5557,0.73,0.625,169,0.4824,0.1689,0.6951,0.9,1.0,1.0,44.368,41.232,133,75,-58,ok,131.0,75.0,22.61904761904762,13.690476190476192,-56.0
M. Syphers,0000-0002-7062-7429,Chemistry,Elite (matched),31,25301,212,12.24,9.48,23,0.3052,0.7461,0.0,70,0.2059,0.2481,0.6579,0.1147,1.0,0.46,44.052,39.786,134,162,28,ok,132.0,160.0,22.023809523809522,7.738095238095238,28.0
Mark Gerstein,0000-0002-9746-3719,Chemistry,Elite (matched),191,259745,1152,26.84,18.04,49,0.6032,0.8691,0.795,156,0.9412,0.0365,0.8159,0.4265,1.0,0.98,43.764,45.152,135,10,-125,ok,133.0,10.0,21.428571428571427,34.523809523809526,-123.0
George M. Weinstock,0000-0002-2997-4592,Chemistry,Elite (matched),134,151357,621,22.23,15.4,91,0.5738,0.7881,0.785,157,0.7647,0.0907,0.7452,0.95,1.0,1.0,43.744,43.348,136,53,-83,ok,134.0,53.0,20.833333333333336,24.404761904761905,-81.0
Eric Banks,0000-0001-9615-2372,Chemistry,Elite (matched),56,154720,122,44.83,15.22,39,0.5077,0.8526,0.469,73,0.7765,0.0764,0.7836,0.3147,1.0,0.78,43.523,43.615,137,134,-3,ok,135.0,134.0,20.238095238095237,27.976190476190478,-1.0
Peer Bork,0000-0002-2627-833X,Chemistry,Elite (matched),234,382885,944,21.29,15.3,52,0.4736,0.8094,0.63,146,0.9824,0.0939,0.7422,0.4706,1.0,1.0,43.163,45.093,138,3,-135,ok,136.0,3.0,19.642857142857142,32.142857142857146,-133.0
George P. Smith,0000-0003-2221-8831,Chemistry,Nobel,270,428304,4156,25.69,17.29,69,0.7999,0.7615,0.895,150,0.9941,0.0512,0.7692,0.7559,1.0,1.0,43.064,43.625,139,1,-138,ok,137.0,1.0,19.047619047619047,28.57142857142857,-136.0
Søren Brunak,0000-0003-0316-5866,Chemistry,Elite (matched),132,146024,817,29.78,17.52,104,0.5937,0.7944,0.67,158,0.7353,0.0448,0.7543,0.9853,1.0,1.0,41.996,41.756,140,56,-84,ok,138.0,56.0,18.452380952380953,17.261904761904763,-82.0
Yingrui Li,0000-0001-6630-1277,Chemistry,Elite (matched),91,124306,317,27.31,17.12,101,0.546,0.8014,0.56,137,0.6,0.0534,0.7503,0.9735,1.0,1.0,41.903,40.793,141,91,-50,ok,139.0,91.0,17.857142857142858,11.30952380952381,-48.0
Manolis Kellis,0000-0001-7113-9630,Chemistry,Elite (matched),140,125354,1142,26.01,18.3,57,0.4862,0.8608,0.605,143,0.6118,0.032,0.7859,0.5824,1.0,1.0,41.747,41.34,142,45,-97,ok,140.0,45.0,17.261904761904763,14.285714285714285,-95.0
Jeroen Raes,0000-0002-1337-041X,Chemistry,Elite (matched),128,112347,460,21.2,15.51,86,0.4884,0.7687,0.475,141,0.5176,0.0898,0.7126,0.9235,1.0,1.0,41.553,39.829,143,58,-85,ok,141.0,58.0,16.666666666666664,8.333333333333332,-83.0
Robert A. Holt,0000-0002-7259-1247,Chemistry,Elite (matched),123,149132,461,24.14,17.57,95,0.4901,0.8043,0.49,154,0.7529,0.0467,0.7415,0.9647,1.0,1.0,41.469,41.989,144,63,-81,ok,142.0,63.0,16.071428571428573,17.857142857142858,-79.0
Carlos D. Bustamante,0000-0002-4187-7920,Chemistry,Elite (matched),139,125708,504,22.95,17.52,57,0.5155,0.8212,0.665,156,0.6176,0.0484,0.7601,0.5824,1.0,1.0,41.309,40.655,145,47,-98,ok,143.0,47.0,15.476190476190476,10.714285714285714,-96.0
Ewan Birney,0000-0001-8314-8497,Chemistry,Elite (matched),143,182759,500,27.88,18.65,59,0.4627,0.8452,0.605,150,0.8588,0.0249,0.7687,0.6176,1.0,1.0,41.191,42.953,146,41,-105,ok,144.0,41.0,14.880952380952381,22.023809523809522,-103.0
S. Farinon,0000-0002-6487-2137,Chemistry,Elite (matched),32,21286,236,25.76,10.83,28,0.3249,0.7577,0.0,139,0.1647,0.173,0.6711,0.1794,1.0,0.56,41.149,36.712,147,161,14,ok,145.0,159.0,14.285714285714285,1.7857142857142856,14.0
Richard A. Gibbs,0000-0002-1356-5698,Chemistry,Elite (matched),191,284040,1334,37.31,26.85,67,0.5622,0.8377,0.75,130,0.9588,0.0,0.7826,0.7382,1.0,1.0,41.147,43.399,148,10,-138,ok,146.0,10.0,13.690476190476192,25.0,-136.0
Richard Durbin,0000-0002-9130-1006,Chemistry,Elite (matched),149,390856,464,28.82,18.62,50,0.4799,0.8323,0.57,166,0.9882,0.0252,0.7618,0.4382,1.0,1.0,40.758,43.473,149,36,-113,ok,147.0,36.0,13.095238095238097,26.190476190476193,-111.0
Steven J.M. Jones,0000-0003-3394-2208,Chemistry,Elite (matched),184,207712,1214,29.11,22.09,85,0.5687,0.8191,0.74,144,0.9,0.0,0.769,0.9,1.0,1.0,40.727,42.487,150,15,-135,ok,148.0,15.0,12.5,20.833333333333336,-133.0
Donna M. Muzny,0000-0002-3055-0359,Chemistry,Elite (matched),156,162307,691,39.69,21.07,72,0.5786,0.8229,0.725,143,0.8118,0.0,0.774,0.7765,1.0,1.0,40.506,41.539,151,29,-122,ok,149.0,29.0,11.904761904761903,14.880952380952381,-120.0
Evan E. Eichler,0000-0002-8246-4014,Chemistry,Elite (matched),191,190381,861,31.38,24.87,44,0.5754,0.8427,0.76,104,0.8765,0.0,0.7892,0.3588,1.0,0.88,40.454,42.051,152,10,-142,ok,150.0,10.0,11.30952380952381,19.642857142857142,-140.0
Paul Flicek,0000-0002-3897-7955,Chemistry,Elite (matched),167,202378,530,41.16,26.2,46,0.4643,0.8635,0.59,162,0.8941,0.0,0.7837,0.3912,1.0,0.92,40.296,42.66,153,25,-128,ok,151.0,25.0,10.714285714285714,21.428571428571427,-126.0
Chad Nusbaum,0000-0002-2777-1708,Chemistry,Elite (matched),88,145832,180,23.94,17.35,47,0.4379,0.8108,0.477,107,0.7294,0.0511,0.7362,0.4059,1.0,0.94,40.146,40.845,154,96,-58,ok,152.0,96.0,10.119047619047619,11.904761904761903,-56.0
Jan O. Korbel,0000-0002-2798-3794,Chemistry,Elite (matched),117,117154,444,35.52,24.53,63,0.5444,0.8364,0.615,145,0.5471,0.0,0.778,0.6735,1.0,1.0,39.903,39.084,155,70,-85,ok,153.0,70.0,9.523809523809524,6.547619047619048,-83.0
Nicola Segata,0000-0002-1583-5794,Chemistry,Elite (matched),108,117029,509,22.23,16.99,87,0.4275,0.7762,0.47,146,0.5412,0.0594,0.7065,0.9382,1.0,1.0,39.884,39.059,156,73,-83,ok,154.0,73.0,8.928571428571429,5.952380952380952,-81.0
Richard K. Wilson,0000-0002-1992-1358,Chemistry,Elite (matched),190,247327,680,31.77,25.52,60,0.5487,0.8141,0.76,123,0.9353,0.0,0.761,0.6265,1.0,1.0,39.817,42.036,157,13,-144,ok,155.0,13.0,8.333333333333332,19.047619047619047,-142.0
Roderic Guigó,0000-0002-5738-4477,Chemistry,Elite (matched),126,127534,701,30.43,20.6,63,0.5013,0.8405,0.575,165,0.6235,0.0,0.7727,0.6735,1.0,1.0,39.811,39.84,158,60,-98,ok,156.0,60.0,7.738095238095238,8.928571428571429,-96.0
Demis Hassabis,0000-0002-5359-5567,Chemistry,Nobel,90,186801,174,16.36,13.74,53,0.4252,0.6862,0.298,134,0.8706,0.1353,0.634,0.4853,1.0,1.0,39.754,40.967,159,93,-66,ok,157.0,93.0,7.142857142857142,13.095238095238097,-64.0
David A. Wheeler,0000-0002-9056-6299,Chemistry,Elite (matched),148,132490,604,31.75,19.18,86,0.5085,0.8025,0.565,146,0.6471,0.0145,0.7437,0.9235,1.0,1.0,39.719,39.713,160,38,-122,ok,158.0,38.0,6.547619047619048,7.142857142857142,-120.0
Jun Wang,0009-0008-8475-2934,Chemistry,Elite (matched),222,297655,3183,36.23,29.52,57,0.5806,0.8029,0.69,124,0.9706,0.0,0.7584,0.5824,1.0,1.0,39.672,42.001,161,4,-157,ok,159.0,4.0,5.952380952380952,18.452380952380953,-155.0
David Haussler,0000-0003-1533-4575,Chemistry,Elite (matched),175,245305,720,25.31,19.75,54,0.4348,0.8385,0.58,166,0.9235,0.0047,0.7578,0.5118,1.0,1.0,39.61,42.346,162,18,-144,ok,160.0,18.0,5.357142857142857,20.238095238095237,-142.0
Huanming Yang,0000-0002-0858-3410,Chemistry,Elite (matched),166,222725,1081,37.11,31.16,64,0.5402,0.807,0.62,144,0.9176,0.0,0.7536,0.7059,1.0,1.0,39.601,41.733,163,26,-137,ok,161.0,26.0,4.761904761904762,16.071428571428573,-135.0
Stephen T. Sherry,0000-0002-7982-076X,Chemistry,Elite (matched),63,108865,165,30.35,18.63,23,0.4134,0.8607,0.433,42,0.4765,0.0246,0.7712,0.1147,1.0,0.46,39.375,38.536,164,126,-38,ok,162.0,126.0,4.166666666666666,2.976190476190476,-36.0
Tim Hubbard,0000-0002-1767-9318,Chemistry,Elite (matched),94,113922,304,43.74,24.47,76,0.4422,0.8344,0.505,161,0.5235,0.0,0.756,0.8118,1.0,1.0,39.102,38.7,165,87,-78,ok,163.0,87.0,3.571428571428571,4.166666666666666,-76.0
Xun Xu,0000-0002-5338-5173,Chemistry,Elite (matched),151,130670,1087,32.69,24.68,75,0.538,0.8029,0.68,134,0.6353,0.0,0.7499,0.8029,1.0,1.0,39.032,38.976,166,32,-134,ok,164.0,32.0,2.976190476190476,5.357142857142857,-132.0
Sarah Hunt,0000-0002-8350-1235,Chemistry,Elite (matched),99,119051,249,46.24,26.88,77,0.4971,0.8109,0.509,129,0.5765,0.0,0.7481,0.8235,1.0,1.0,38.866,38.584,167,82,-85,ok,165.0,82.0,2.380952380952381,3.571428571428571,-83.0
Andrew Rambaut,0000-0003-4337-3707,Chemistry,Elite (matched),150,153598,521,26.45,19.91,64,0.5309,0.7464,0.56,161,0.7706,0.0017,0.7033,0.7059,1.0,1.0,36.957,38.1,168,34,-134,ok,166.0,34.0,1.7857142857142856,2.380952380952381,-132.0
Bruce W. Birren,0000-0001-6971-945X,Chemistry,Elite (matched),97,110633,246,33.01,19.88,56,0.3772,0.7888,0.36,130,0.5059,0.0021,0.7065,0.5559,1.0,1.0,36.232,36.198,169,85,-84,ok,167.0,85.0,1.1904761904761905,1.1904761904761905,-82.0
A. Yamamoto,0000-0002-5351-5169,Chemistry,Elite (matched),63,32991,790,28.43,24.17,51,0.2575,0.7942,0.01,142,0.2647,0.0,0.6869,0.4559,1.0,1.0,34.456,33.318,170,126,-44,ok,168.0,126.0,0.5952380952380952,0.5952380952380952,-42.0
Ben S. Bernanke,0000-0003-2185-0852,Economics,Nobel,85,58862,719,1.24,1.04,25,0.1059,0.4876,0.0,116,0.875,0.8888,0.4685,0.0562,1.0,0.5,74.558,68.837,1,42,41,ok,1.0,42.0,100.0,100.0,41.0
Paul Krugman,0000-0001-8364-0845,Economics,Nobel,111,79768,717,1.81,1.08,68,0.0898,0.4668,0.0,64,0.9562,0.7917,0.448,0.6438,1.0,1.0,71.34,64.039,2,8,6,ok,2.0,8.0,99.375,99.375,6.0
Eugene F. Fama,,Economics,Nobel,116,258862,240,2.02,1.07,22,0.0982,0.4662,0.0,39,0.9938,0.7665,0.4478,0.0375,1.0,0.44,70.055,61.674,3,4,1,ok,3.0,4.0,98.75,96.875,1.0
Angus Deaton,0000-0002-1195-6489,Economics,Nobel,109,67491,664,1.92,1.48,57,0.2482,0.4688,0.095,149,0.9188,0.7614,0.4578,0.4625,1.0,1.0,69.242,62.347,4,12,8,ok,4.0,12.0,98.125,98.125,8.0
Oliver Hart,0000-0002-0044-2185,Economics,Nobel,72,59567,317,2.67,1.59,41,0.2107,0.604,0.0,114,0.8875,0.6856,0.5843,0.1812,1.0,0.82,68.527,61.829,5,84,79,ok,5.0,84.0,97.5,97.5,79.0
William D. Nordhaus,0000-0001-9844-3996,Economics,Nobel,96,46055,463,1.9,1.47,47,0.1372,0.5296,0.005,106,0.7938,0.7642,0.51,0.2906,1.0,0.94,68.494,62.753,6,19,13,ok,6.0,19.0,96.875,98.75,13.0
Pierre Bourdıeu,0000-0001-6386-4269,Economics,Elite (matched),171,262421,1041,2.06,1.21,93,0.15,0.3876,0.0,100,1.0,0.7564,0.3757,0.9188,1.0,1.0,68.488,60.303,7,1,-6,ok,7.0,1.0,96.25,96.25,-6.0
Jean Tirole,0000-0002-2245-0803,Economics,Nobel,123,93781,537,2.34,1.98,53,0.1236,0.4769,0.0,130,0.9688,0.6982,0.4592,0.3656,1.0,1.0,66.976,59.032,8,3,-5,ok,8.0,3.0,95.625,95.625,-5.0
Daron Acemoglu,0000-0002-7152-7017,Economics,Nobel,161,151480,1025,3.08,1.08,61,0.185,0.4943,0.005,148,0.9812,0.675,0.4788,0.5188,1.0,1.0,66.86,58.474,9,2,-7,ok,9.0,2.0,95.0,94.375,-7.0
Jeong Yeon Lee,0000-0002-2622-7831,Economics,Elite (matched),17,78460,71,2.34,1.77,44,0.1495,0.4749,0.016,53,0.95,0.7063,0.4586,0.2375,1.0,0.88,66.859,58.967,10,158,148,ok,10.0,158.0,94.375,95.0,148.0
Robert J. Shiller,0000-0003-1352-3494,Economics,Nobel,95,54154,510,2.36,1.86,46,0.1385,0.4774,0.0,96,0.8438,0.701,0.4605,0.2688,1.0,0.92,64.735,57.77,11,20,9,ok,11.0,20.0,93.75,93.125,9.0
Joshua D. Angrist,,Economics,Nobel,87,63881,593,2.98,1.22,40,0.3201,0.4601,0.01,127,0.9062,0.6767,0.4531,0.1594,1.0,0.8,64.328,56.407,12,33,21,ok,12.0,33.0,93.125,90.0,21.0
Christopher A. Sims,0000-0001-6695-0886,Economics,Nobel,67,45396,265,2.89,2.28,43,0.2904,0.5426,0.03,70,0.7812,0.6444,0.53,0.2188,1.0,0.86,62.895,56.874,13,93,80,ok,13.0,93.0,92.5,91.875,80.0
Sergio I. Prada,0000-0001-7986-0959,Economics,Elite (matched),33,52186,133,4.16,2.28,67,0.3491,0.5852,0.256,61,0.8312,0.5777,0.5734,0.625,1.0,1.0,62.366,56.148,14,144,130,ok,14.0,144.0,91.875,89.375,130.0
Andrew K. Rose,0000-0003-1100-1212,Economics,Elite (matched),75,30822,577,2.13,1.67,65,0.1833,0.5098,0.0,143,0.5312,0.7305,0.4935,0.5938,1.0,1.0,61.844,58.302,15,74,59,ok,15.0,74.0,91.25,93.75,59.0
David Card,0000-0002-0386-5447,Economics,Nobel,102,58312,698,3.37,1.59,40,0.2362,0.4681,0.02,142,0.8625,0.6393,0.4565,0.1594,1.0,0.8,61.787,54.018,16,15,-1,ok,16.0,15.0,90.625,80.625,-1.0
James A. Robinson,0000-0001-8888-2549,Economics,Nobel,80,58369,431,2.88,2.46,75,0.1524,0.4454,0.01,145,0.8688,0.6385,0.4308,0.7219,1.0,1.0,61.736,54.487,17,59,42,ok,17.0,59.0,90.0,83.75,42.0
Paul M. Romer,0000-0002-5005-0154,Economics,Nobel,44,51129,119,3.38,2.07,25,0.27,0.5171,0.022,32,0.825,0.6221,0.5047,0.0562,1.0,0.5,61.623,54.597,18,126,108,ok,18.0,126.0,89.375,85.0,108.0
Lars Peter Hansen,0000-0002-8916-8746,Economics,Nobel,75,45210,358,3.25,1.9,53,0.2059,0.5159,0.015,101,0.775,0.6355,0.5004,0.3656,1.0,1.0,61.595,55.131,19,74,55,ok,19.0,74.0,88.75,86.875,55.0
Thomas J. Sargent,0000-0003-1801-1175,Economics,Nobel,93,44963,620,3.12,2.26,59,0.2018,0.4952,0.005,138,0.7688,0.6305,0.4805,0.4844,1.0,1.0,60.759,54.438,20,25,5,ok,20.0,25.0,88.125,82.5,5.0
Richard Baldwin,0000-0002-1965-4157,Economics,Elite (matched),91,33878,766,2.56,1.27,62,0.126,0.4669,0.0,146,0.6125,0.7064,0.4499,0.55,1.0,1.0,60.745,55.604,21,29,8,ok,21.0,29.0,87.5,88.75,8.0
Richard H. Thaler,0000-0002-9910-6380,Economics,Nobel,111,111464,274,4.04,2.66,50,0.1289,0.4766,0.018,60,0.975,0.5703,0.4592,0.325,1.0,1.0,60.741,52.011,22,8,-14,ok,22.0,8.0,86.875,76.25,-14.0
Guido W. Imbens,0000-0002-0767-2977,Economics,Nobel,91,71483,442,4.97,3.06,49,0.3449,0.5606,0.035,169,0.9375,0.5236,0.5498,0.3094,1.0,0.98,60.545,53.006,23,29,6,ok,23.0,29.0,86.25,79.375,6.0
Simeon Djankov,0000-0002-0822-6456,Economics,Elite (matched),73,42040,361,2.85,1.46,39,0.1474,0.4667,0.0,124,0.7,0.6771,0.4507,0.1469,1.0,0.78,60.456,54.124,24,81,57,ok,24.0,81.0,85.625,81.25,57.0
Roger B. Myerson,0000-0002-8860-0647,Economics,Nobel,52,29404,213,1.97,1.56,41,0.1333,0.4666,0.0,61,0.4938,0.7523,0.4499,0.1812,1.0,0.82,60.379,56.597,25,114,89,ok,25.0,114.0,85.0,90.625,89.0
Avinash Dixit,0000-0002-8929-7503,Economics,Elite (matched),68,28815,254,1.93,1.37,38,0.1441,0.4617,0.037,59,0.4688,0.7647,0.4458,0.1344,1.0,0.76,60.347,56.747,26,92,66,ok,26.0,92.0,84.375,91.25,66.0
