name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
Emmanuelle Charpentier,0000-0002-6590-3657,Chemistry,Nobel,55,46398,153,6.91,5.24,67,0.339,0.8183,0.242,79,0.3353,0.4133,0.7224,0.7382,1.0,1.0,56.681,52.175,48,136,88,ok,46.0,136.0,73.21428571428571,70.83333333333334,90.0
Monica Nordberg,0000-0002-5315-1633,Chemistry,Elite (matched),52,10514,3548,4.09,2.54,25,0.185,0.6989,0.055,145,0.0882,0.5721,0.5961,0.1353,1.0,0.5,56.371,51.183,49,140,91,ok,47.0,140.0,72.61904761904762,63.69047619047619,93.0
John W. Moore,0000-0001-7652-0668,Chemistry,Elite (matched),55,13709,769,3.22,2.45,31,0.1661,0.6403,0.015,101,0.1176,0.6179,0.5455,0.2118,1.0,0.62,56.362,51.972,50,136,86,ok,48.0,136.0,72.02380952380952,70.23809523809523,88.0
M. A. Lieberman,0000-0002-2841-2870,Chemistry,Elite (matched),76,29189,546,4.74,3.09,27,0.2383,0.7263,0.007,106,0.2353,0.5301,0.6287,0.1618,1.0,0.54,56.296,51.788,51,112,61,ok,49.0,112.0,71.42857142857143,68.45238095238095,63.0
Stefan W. Hell,0000-0002-9638-5077,Chemistry,Nobel,138,73170,729,7.93,7.12,55,0.5383,0.8483,0.705,152,0.4,0.346,0.7863,0.5353,1.0,1.0,56.218,51.333,52,49,-3,ok,50.0,49.0,70.83333333333334,64.28571428571429,-1.0
Omar M. Yaghi,0000-0002-5611-3325,Chemistry,Elite (matched),198,246813,938,6.51,6.22,44,0.3252,0.8215,0.17,174,0.9294,0.3928,0.7222,0.3588,1.0,0.88,56.13,56.642,53,7,-46,ok,51.0,7.0,70.23809523809523,85.71428571428571,-44.0
Julie Thompson,0000-0003-4893-3478,Chemistry,Elite (matched),45,163981,239,7.47,5.67,86,0.3896,0.7791,0.285,120,0.8353,0.3919,0.7012,0.9235,1.0,1.0,56.124,55.277,54,147,93,ok,52.0,146.0,69.64285714285714,82.73809523809523,94.0
Silvia E. Braslavsky,0000-0002-2796-8586,Chemistry,Elite (matched),54,11505,1653,7.87,2.15,15,0.2812,0.78,0.065,146,0.0941,0.4806,0.6802,0.0382,1.0,0.3,55.825,49.222,55,138,83,ok,53.0,138.0,69.04761904761905,51.19047619047619,85.0
Roger D. Kornberg,0000-0002-7504-3471,Chemistry,Nobel,121,49464,367,8.37,7.42,56,0.5136,0.8625,0.366,92,0.3471,0.3325,0.7927,0.5559,1.0,1.0,55.813,50.681,56,67,11,ok,54.0,67.0,68.45238095238095,60.71428571428571,13.0
Eugene V. Koonin,0000-0003-3943-8299,Chemistry,Elite (matched),221,212239,1418,8.09,6.04,73,0.3523,0.8067,0.42,145,0.9059,0.3728,0.7158,0.7882,1.0,1.0,55.762,55.706,57,5,-52,ok,55.0,5.0,67.85714285714286,83.92857142857143,-50.0
Ulrich S. Schubert,0000-0003-4978-4670,Chemistry,Elite (matched),138,101239,2328,6.35,5.68,74,0.2731,0.7998,0.12,178,0.4588,0.4112,0.6945,0.7941,1.0,1.0,55.632,52.665,58,49,-9,ok,56.0,49.0,67.26190476190477,74.40476190476191,-7.0
Venkatraman Ramakrishnan,0000-0002-2455-9361,Chemistry,Nobel,20,1462,86,5.92,2.65,36,0.2528,0.7342,0.0,21,0.0059,0.5088,0.6379,0.2735,0.1462,0.72,55.475,48.739,59,168,109,ok,57.0,166.0,66.66666666666666,48.80952380952381,109.0
